Nama UMKM                               , Produk Utama                            , Total Aset (Juta), Penjualan Rata-rata Per Tahun (Juta), Jumlah Tenaga Kerja, Nama Badan Hukum       , Kategori                                                                  , Sistem Penjualan      , Target Pasar                                                               , Proyeksi Pertumbuhan (%/tahun), Kebutuhan Biaya Kredit (Juta), Nilai Aset Jaminan Kredit, Jumlah Dokumen Kredit, Label      , pendanaan
Bawang Anwar                            , Bawang Merah                            , 310.0            , 420.0                               , 11                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 27.0                         , 310.0                    , 5                    , LAYAK      , 735.520958871497
Suardi Bawang                           , Bawang                                  , 203.0            , 132.0                               , 11                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 24.0                         , 203.0                    , 6                    , TIDAK LAYAK, 326.86320845014865
Saleh Bawang                            , Bawang Merah                            , 520.0            , 820.0                               , 11                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 43.0                         , 520.0                    , 8                    , LAYAK      , 1405.387020379023
Suka Maju                               , Kambing Etawa                           , 230.0            , 126.0                               , 22                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 200.0                        , 230.0                    , 2                    , TIDAK LAYAK, 345.6554872912496
Daya Mekar                              , Ikan Nila                               , 300.0            , 316.0                               , 15                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 80.0                         , 300.0                    , 8                    , LAYAK      , 610.2898405977131
Mekar Sari                              , Ikan Nila                               , 230.0            , 369.0                               , 16                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 150.0                        , 230.0                    , 7                    , LAYAK      , 629.6021490397836
Tambak Lele                             , Lele                                    , 157.0            , 83.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %                    , 0.0                           , 15.0                         , 157.0                    , 8                    , TIDAK LAYAK, 254.46393189640938
Kue Darma Rini                          , Kerupuk Dan Martabak                    , 558.0            , 518.0                               , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 0.0                          , 558.0                    , 9                    , LAYAK      , 1073.0690275579059
Peternak Ayam                           , Ayam                                    , 380.0            , 522.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 30 %                    , 0.0                           , 53.0                         , 380.0                    , 8                    , LAYAK      , 935.1955080422563
Perkebunan Lada Saifullah               , Lada                                    , 200.0            , 223.0                               , 8                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %                    , 0.0                           , 90.0                         , 200.0                    , 5                    , TIDAK LAYAK, 424.2919173820943
Kebun Tatik                             , Sahang                                  , 290.0            , 230.0                               , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 45.0                         , 290.0                    , 5                    , TIDAK LAYAK, 506.49082516777764
Darman Las                              , Rehap Mobil                             , 362.0            , 200.0                               , 6                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 64.0                         , 362.0                    , 6                    , TIDAK LAYAK, 540.6840720394887
UD Depot Bunga Ryan                     , Tanaman Dan Bunga Hias                  , 540.0            , 720.0                               , 2                  , Usaha Dagang (UD)      , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 102.0                        , 540.0                    , 7                    , LAYAK      , 1293.8345819177405
Petani Cabai Merah Pak Indra            , Cabai Merah                             , 50.0             , 240.0                               , 6                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 40.0                         , 50.0                     , 7                    , TIDAK LAYAK, 327.4952144649927
Watawa Sau Bil Haq                      , Udang Mantis                            , 449.0            , 96.0                                , 20                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 0.0                          , 449.0                    , 9                    , TIDAK LAYAK, 475.5757978622826
Kub Berkat Usaha                        , Ikan Segar                              , 389.0            , 184.0                               , 20                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 0.0                          , 389.0                    , 10                   , TIDAK LAYAK, 541.3085711811341
Kub Rizqi                               , Ikan Segar                              , 469.0            , 26.0                                , 22                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 0.0                          , 469.0                    , 7                    , TIDAK LAYAK, 388.0385778764319
Peternak Ayam Pak Bisuni                , Ayam Pedaging                           , 1120.0           , 1536.0                              , 7                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 20.0                         , 1120.0                   , 8                    , LAYAK      , 2766.078481175683
Ubi Daun Samsinar                       , Daun Singkong                           , 515.0            , 75.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 9.0                          , 515.0                    , 6                    , TIDAK LAYAK, 497.2970244229874
Bundo Flower's                          , Tanaman Hias                            , 50.0             , 180.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 18.0                         , 50.0                     , 6                    , TIDAK LAYAK, 252.1820226806626
UD Mitra Utama                          , Batako                                  , 3210.0           , 840.0                               , 4                  , Usaha Dagang (UD)      , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 45.0                         , 3210.0                   , 10                   , LAYAK      , 3582.027772478953
Marca Flawers                           , Tanaman Hias                            , 141.0            , 480.0                               , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 27.0                         , 141.0                    , 7                    , LAYAK      , 672.4120056660112
Yetri Jaya Flawers                      , Tanaman Hias                            , 5506.0           , 840.0                               , 5                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 450.0                        , 5506.0                   , 7                    , LAYAK      , 5409.784563171641
UD Flora Agro Lestari                   , Tanaman Hias Dan Bibit                  , 300.0            , 240.0                               , 2                  , Usaha Dagang (UD)      , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 27.0                         , 300.0                    , 7                    , TIDAK LAYAK, 521.338697866382
Rawang Ujo Lamo                         , Padi Kering Giling                      , 1540.0           , 1080.0                              , 42                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 80.0                         , 1540.0                   , 8                    , LAYAK      , 2536.3795987609997
Ternak Ayam Potong Pak Bismo            , Ayam Pedaging                           , 1160.0           , 768.0                               , 5                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 400.0                        , 1160.0                   , 7                    , LAYAK      , 1860.0257046395868
Petani Cabai Bang Doel                  , Cabai                                   , 175.0            , 128.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 40.0                         , 174.0                    , 4                    , TIDAK LAYAK, 287.8365598798748
Maju Tani Makmur                        , Bibit. Pupuk. Pestisida                 , 12.0             , 600.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %                    , 0.0                           , 108.0                        , 12.0                     , 3                    , TIDAK LAYAK, 726.8327419509494
Usaha Baru                              , Beras Giling                            , 4664.0           , 720.0                               , 54                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 270.0                        , 4664.0                   , 8                    , LAYAK      , 4610.226348883885
Petani Cabai Pak Sunaryo                , Cabai Merah                             , 195.0            , 240.0                               , 8                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 120.0                        , 195.0                    , 7                    , TIDAK LAYAK, 445.91898026792705
Petani Semangka Andi                    , Semangka Non Biji                       , 450.0            , 450.0                               , 30                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 210.0                        , 450.0                    , 7                    , LAYAK      , 906.337979527778
Kebun Jagung Daulat Manalu              , Jagung Pipil Kering                     , 151.0            , 168.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 30 %                      , 0.0                           , 48.0                         , 151.0                    , 4                    , TIDAK LAYAK, 321.1914369221342
Bina Tani                               , Jagung Pipil Kering                     , 660.0            , 840.0                               , 50                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader 20 %                      , 0.0                           , 360.0                        , 660.0                    , 7                    , LAYAK      , 1532.261160997563
Kolam Ikan Pak Ruli                     , Ikan Nila                               , 121.0            , 126.0                               , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 121.0                    , 6                    , TIDAK LAYAK, 237.16680790371282
Mekar Tani                              , Tepung Kopi                             , 58.0             , 48.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 20.0                         , 58.0                     , 2                    , TIDAK LAYAK, 102.89255555216374
Usaha Mandiri Jamur                     , Jamur                                   , 720.0            , 168.0                               , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 45.0                         , 720.0                    , 8                    , TIDAK LAYAK, 767.5688602684118
Vani Garden                             , Bibit                                   , 70.0             , 180.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 200.0                        , 70.0                     , 6                    , TIDAK LAYAK, 277.6494738241349
Jamur Tiram Tibo Urip                   , Jamur Tiram                             , 45.0             , 72.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 50.0                         , 45.0                     , 6                    , TIDAK LAYAK, 123.71074296016523
Ternak Bebek Fahrudin                   , Bebek Pedaging                          , 210.0            , 94.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 24.0                         , 210.0                    , 7                    , TIDAK LAYAK, 277.84124216912306
Ternak Ayam Potong Pak Bismo            , Ayam Pedaging                           , 1160.0           , 768.0                               , 5                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 400.0                        , 1160.0                   , 7                    , LAYAK      , 1854.854715275658
Usaha Baru                              , Beras Giling                            , 4664.0           , 720.0                               , 54                 , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 270.0                        , 4664.0                   , 8                    , LAYAK      , 4590.349525380207
Sero                                    , Ikan Segar                              , 8.0              , 72.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 23.0                         , 8.0                      , 4                    , TIDAK LAYAK, 104.12794506464242
Ayam Potong Patta                       , Ayam                                    , 26.0             , 60.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 9.0                          , 26.0                     , 6                    , TIDAK LAYAK, 78.92897489645344
Garang Tawayya                          , Ikan                                    , 3.0              , 45.0                                , 6                  , Lainnya                , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 18.0                         , 3.0                      , 5                    , TIDAK LAYAK, 55.01486646084744
Ternak Sapi Agus Salim                  , Sapi                                    , 12.0             , 30.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 12.0                         , 12.0                     , 6                    , TIDAK LAYAK, 36.81557682691917
Kenari                                  , Kenari                                  , 40.0             , 24.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %                    , 0.0                           , 6.0                          , 40.0                     , 4                    , TIDAK LAYAK, 69.88624412236462
Perkebunan Kenari Ahmad Darlin          , Kenari                                  , 180.0            , 60.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 4.0                          , 180.0                    , 7                    , TIDAK LAYAK, 204.23319897793994
Usaha Ternak Kambing Ibu Herlina        , Kambing                                 , 85.0             , 36.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 85.0                     , 7                    , TIDAK LAYAK, 98.54680445167436
Sero' Petta Cora                        , Ikan                                    , 183.0            , 33.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 16.0                         , 183.0                    , 6                    , TIDAK LAYAK, 198.73487971401204
Sadaruddin Sayur                        , Sayur                                   , 381.0            , 60.0                                , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 56.0                         , 381.0                    , 10                   , TIDAK LAYAK, 386.17738174901064
Nasir Tani Sayur                        , Sayur Kubis & Brokoli                   , 150.0            , 36.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 8.0                          , 150.0                    , 8                    , TIDAK LAYAK, 143.17140005190677
Simen Tani Jagung                       , Jagung                                  , 167.0            , 24.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 7.0                          , 167.0                    , 7                    , TIDAK LAYAK, 164.3416062004384
Petani Sayur                            , Sawi. Terong. Buncis. Bayam             , 5.0              , 10.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 6.0                          , 5.0                      , 4                    , TIDAK LAYAK, 20.638756005719834
Petani Cokelat                          , Cokelat Kering                          , 50.0             , 28.0                                , 5                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 50.0                     , 4                    , TIDAK LAYAK, 61.05143892597681
Petani Kedelai                          , Kedelai                                 , 57.0             , 38.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 9.0                          , 57.0                     , 7                    , TIDAK LAYAK, 91.34815250237992
Petani Kedelai Lasiman                  , Kedelai                                 , 57.0             , 43.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 9.0                          , 57.0                     , 6                    , TIDAK LAYAK, 106.69940393973387
Heri Kios Burung                        , Burung Dan Pakan                        , 13.0             , 216.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 13.0                     , 4                    , TIDAK LAYAK, 271.25042056836924
Resma Tani                              , Barang Pertanian                        , 150.0            , 252.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 40.0                         , 150.0                    , 6                    , TIDAK LAYAK, 434.05641875350403
Pembibitan Sayur Pak Sutris             , Bibit Sayur                             , 233.0            , 864.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 48.0                         , 223.0                    , 6                    , LAYAK      , 1223.9471070580673
Marida Pisang                           , Hasil Bumi (Pisang)                     , 160.0            , 60.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 160.0                    , 6                    , TIDAK LAYAK, 190.00142599998085
Pengepul Sayur                          , Sayur                                   , 65.0             , 720.0                               , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 30.0                         , 65.0                     , 7                    , LAYAK      , 920.061428147181
Ayam Petelur                            , Telur                                   , 120.0            , 200.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 80.0                         , 120.0                    , 6                    , TIDAK LAYAK, 323.16514633573934
Kaisa Mandiri                           , Ikan Lele                               , 7.0              , 45.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 7.0                      , 6                    , TIDAK LAYAK, 66.99910685931432
Kios Kinti Tani Mandiri                 , Alat Pertanian                          , 700.0            , 468.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 700.0                    , 8                    , LAYAK      , 1113.9544344443075
Warung Sembako Firly                    , Sembako                                 , 278.0            , 36.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 30.0                         , 278.0                    , 8                    , TIDAK LAYAK, 262.7620986665022
PT S K J                                , Jasa Angkutan Sped                      , 9.0              , 50.0                                , 1                  , PT (Perseroan Terbatas), Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 9.0                      , 7                    , TIDAK LAYAK, 71.52811437332689
Kios Bunga Pandan                       , Tanaman Hias                            , 70.0             , 20.0                                , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 25.0                         , 70.0                     , 7                    , TIDAK LAYAK, 70.13899980461251
Asranic Audio Variasi                   , Servis Variasi Mobil                    , 250.0            , 80.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 50.0                         , 250.0                    , 11                   , TIDAK LAYAK, 313.5565545011023
Pakan Ternak Rumaningsih                , Pakan Ternak Uanggas                    , 23.0             , 88.0                                , 11                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 23.0                     , 7                    , TIDAK LAYAK, 126.79475577755012
Salon Fat                               , Perawatan                               , 58.0             , 120.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 58.0                     , 5                    , TIDAK LAYAK, 203.297225075268
Pot Bunga Zailani                       , Pot Bunga                               , 100.0            , 90.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 100.0                    , 6                    , TIDAK LAYAK, 190.97848293099537
Tani Sejahtera                          , Palawija Dan Sayuran                    , 99.0             , 207.0                               , 15                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 28.0                         , 99.0                     , 6                    , TIDAK LAYAK, 334.7824141767659
Usaha Lele Hadi                         , Ikan Lele                               , 75.0             , 240.0                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 32.0                         , 75.0                     , 4                    , TIDAK LAYAK, 344.9423190355812
Mandiri Tani                            , Palawija Dan Sayuran                    , 150.0            , 152.0                               , 10                 , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 18.0                         , 150.0                    , 6                    , TIDAK LAYAK, 309.6816498307721
Sumber Rezeki                           , Ayam                                    , 500.0            , 4752.0                              , 7                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 225.0                        , 500.0                    , 9                    , LAYAK      , 6106.336423851269
Ukm Pembuatan Gula Merah                , Gula Kabung                             , 100.0            , 72.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 100.0                    , 8                    , TIDAK LAYAK, 161.6452152724119
Madu Pelawan                            , Madu Manis Dan Pahit                    , 200.0            , 200.0                               , 5                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %                    , 0.0                           , 200.0                        , 200.0                    , 10                   , TIDAK LAYAK, 396.0970959100378
Budidaya Ikan Tawar                     , Ikan Lele                               , 360.0            , 480.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 140.0                        , 360.0                    , 8                    , LAYAK      , 873.3048977813139
"Budidaya Ikan ""Udin"""                , Ikan Mas                                , 180.0            , 84.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 45.0                         , 180.0                    , 8                    , TIDAK LAYAK, 249.10890612987112
Bibit Sahang Ungul                      , Bibit Sahang                            , 500.0            , 150.0                               , 8                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %                    , 0.0                           , 255.0                        , 500.0                    , 7                    , TIDAK LAYAK, 575.3996695146843
"Tuan Lim ""Tauco Manis"""              , Pembuatan Tauco                         , 150.0            , 109.0                               , 7                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %                    , 0.0                           , 84.0                         , 150.0                    , 13                   , TIDAK LAYAK, 262.30742306180105
Kolam Ikan Pak De                       , Ikan Nila                               , 91.0             , 22.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 16.0                         , 91.0                     , 6                    , TIDAK LAYAK, 83.90249012500443
Budidaya Lele Amatdi                    , Lele                                    , 150.0            , 456.0                               , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 90.0                         , 150.0                    , 9                    , LAYAK      , 663.0966042107593
